place,count
London,1065
Paris,1024
New York,272
Berlin (Berlin state),237
Amsterdam,195
Bologna,118
Edinburgh,97
Frankfurt am Main,72
Haarlem,52
Dublin,50
Philadelphia,49
Siena,46
Stockholm,46
Hampstead,36
Utrecht,36
Verona,30
Basel,27
Leiden,26
Boston,26
Rotterdam,25
