person,allNames,institution,ULAN_ID,VIAF_ID,WIKIDATA_ID,GND_ID,group_type
,"Bolten, Roeland van | Roeland van Bolten",midas,,1089157828003554550009,,,VIAF
,Unknown / Anonymous,midas,,,,1089562047,GND
,Unknown / Anonymous,midas,,,,108965037,GND
,"Bonvicini, Nicola | Buonvicini, Nicola | Nicola Buonvicini",midas,,10898599,,,VIAF
,Unknown / Anonymous,midas,,,,1089948611,GND
,"Bernardino di Giovanni Bolasco | Bernardino, Giovanni",midas,,10907011,,,VIAF
,"Peter Schliebner | Schliebner, Peter",midas,,10935023,,,VIAF
,"Dröner, Karl | Karl Dröner",midas,,10939380,,,VIAF
,Francesco di Antonio Banchi | Francesco di Antonio Fiorentino | Meister | Meister von Fucecchio,midas,,10949395,,,VIAF
,Unknown / Anonymous,midas,,,,110010221,GND
,"Nicola Vassalletto | Vassalictu, Nicola de | Vassalletto, Nicola",midas,,1100798,,,VIAF
,Unknown / Anonymous,midas,,,,110456718,GND
,"Arthur Hänsch | Haensch, Arthur | Haensch, Ernst-Arthur | Hänsch, Arthur | Hänsch, Ernst Arthur | Hänsch, Ernst-Arthur",midas,,11049236,,,VIAF
,"Gregor Leider | Leider, Gregor",midas,,1105631,,,VIAF
,"Astrid Lincke-Zukunft | Lincke-Zukunft, Astrid",midas,,1106110,,,VIAF
,"Hans Wetzel | Wetzel, Hans",midas,,1107155042798672401760,,,VIAF
,Unknown / Anonymous,midas,,,,110939530,GND
,"Cappelli, Giovanni | Giovanni Cappelli",midas,,1114104,,,VIAF
,"Coccetti, Pietro Paolo | Cocchetti, Pietro Paolo | Pietro Paolo Coccetti",midas,,11153470882545082258,,,VIAF
,"Annibale Lancisi | Lancisi, Annibale",midas,,11154800217156192736,,,VIAF
,"Nelli, Vincenzo | Vincenzo Nelli",midas,,11155284815787062007,,,VIAF
,"Ciceri, Luigi | Luigi Ciceri",frick,,1118494,,,VIAF
,"Frenguelli, Giuseppe | Fringuelli, Giuseppe | Giuseppe Frenguelli",midas,,112144782701848968131,,,VIAF
,"Hans Lütkemeier | Lütkemeier, Hans",midas,,1128361,,,VIAF
,"Senf, Peter",midas,,,,1142120430,GND
,"Filippo de Grassi | Grassi, Filippo de'",midas,,1149841924602842343,,,VIAF
,"John H. Smith | Smith, John H",frick,,11511494,,,VIAF
,"Bauer, Karl | Karl Bauer",frick,,115146331970818692498,,,VIAF
